row_id,年份,碳排放量,GDP,能源消费量,新能源电力
1,2010,56360.0518416869,41383.87,23539.3144312995,238.979026677749
2,2011,65193.3422266796,45952.65,26860.0258116624,248.208815777003
3,2012,67502.6133745123,50660.2,27999.2181084627,265.795804060668
4,2013,66749.3756967212,55580.11,28203.1042748867,271.916223463368
5,2014,64853.27604008,60359.43,28170.5057646771,366.217384260405
6,2015,66074.8099511172,65552.0,29033.6080683821,326.078248177631
7,2016,68526.1246722212,70665.7068288913,29947.9766182135,376.50411325651
8,2017,70451.5573926521,75752.2014922828,30669.8864567355,496.073511587589
9,2018,71502.002859988,80827.711934712,31373.1266491435,697.740101906704
10,2019,74096.3310809087,85556.1338740509,32227.5053853735,857.411766324154
11,2020,72633.3242520406,88683.2146287334,31437.9975544481,963.068886012948
